"2848450";"おだへん";"9,75€";"None";"['sadala']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848460";"Mesh Replica";"";"None";"['nexyvoid']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848470";"Rosetta";"";"None";"['Odd Games']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848500";"Dream Escape";"28,99€";"None";"['np_conpany']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848510";"RELO";"";"None";"['RTGR Games']";"[]";"False";"{'windows': True, 'mac': True, 'linux': True}"
"2848550";"Fall Of The MS Estonia";"";"None";"['Interactive Gaming Studios']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848570";"Paranormal Flipper";"";"None";"['CrossBone']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848580";"Sunday Run";"";"None";"['One Trick Entertainment']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848700";"Galactic dating: Harem in space station";"6,89€";"None";"['El Vagabundo']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848710";"B1 Playtest";"";"None";"[]";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847800";"Sinner";"";"None";"['Pwnzer']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847820";"Elderwood Online";"";"None";"['Ratatosk of Elderwood']";"[]";"False";"{'windows': True, 'mac': True, 'linux': False}"
"2847850";"Ultimate Monkey Race";"";"None";"['CashcowGames']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847950";"Silvan Visitants Playtest";"";"None";"[]";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847970";"Nav";"";"None";"['Calabi Lab Games']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847980";"Incremental Island";"";"None";"['Tylario', 'Ryan Hoover']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848020";"Hand of Anima";"";"None";"['Hill Haven Studios']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848050";"Don't Look at Him";"";"None";"['SOS Games']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848070";"Abyssal Reflections";"2,54€";"None";"['Dominik Kopecký']";"[]";"False";"{'windows': True, 'mac': True, 'linux': False}"
"2848110";"Ascent: Rivals Playtest";"";"None";"[]";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848150";"Where The Crows Roam";"1,49€";"None";"['Elam Isaacs']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848160";"Fire Path";"";"None";"['_if_N']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2848190";"Population Goals!";"";"None";"['Thirty55 Design']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847270";"大梦江湖";"";"None";"['疯狂小兔工作室']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847280";"Strange Ocean";"";"None";"['Night Stroll Studio']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847300";"Chelesste Playtest";"";"None";"[]";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847340";"Happy Monster";"";"None";"['成都顽猴酷娱科技有限公司']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847350";"Valince: Until Dawn";"";"None";"['Midnight Haven Studio']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
"2847380";"Fallacy Quiz";"";"None";"['Tim Krief']";"[]";"False";"{'windows': True, 'mac': True, 'linux': True}"
"2847420";"King Towers";"2,99€";"None";"['AgeOfGames']";"[]";"False";"{'windows': True, 'mac': False, 'linux': False}"
