Name;link
7th Dragon III Code: VFD;https://opencritic.com/game/2961/7th-dragon-iii-code-vfd
7th Sector;https://opencritic.com/game/8974/7th-sector
7’sCarlet;https://opencritic.com/game/6153/7-scarlet
8 to Glory;https://opencritic.com/game/6839/8-to-glory
8-Bit Adventure Anthology: Volume 1;https://opencritic.com/game/5105/8-bit-adventure-anthology-volume-1
8-Bit Adventures 2;https://opencritic.com/game/14097/8-bit-adventures-2
8-Bit Armies;https://opencritic.com/game/2651/8-bit-armies
8-Bit Hordes;https://opencritic.com/game/7194/8-bit-hordes
8-Bit Invaders;https://opencritic.com/game/3786/8-bit-invaders
8-Colors Star Guardians +;https://opencritic.com/game/16067/8-colors-star-guardians-
8-ball pocket;https://opencritic.com/game/14289/8-ball-pocket
8-bit Adventure Steins;Gate;https://opencritic.com/game/15375/8-bit-adventure-steins-gate
80 Days;https://opencritic.com/game/8373/80-days
80's Overdrive;https://opencritic.com/game/5279/80s-overdrive
88 Heroes;https://opencritic.com/game/4088/88-heroes
88 Heroes: 98 Heroes Edition;https://opencritic.com/game/5020/88-heroes-98-heroes-edition
8Bit Hero;https://opencritic.com/game/2773/8bit-hero
8Days;https://opencritic.com/game/3849/8days
8Doors: Arum's Afterlife Adventure;https://opencritic.com/game/11195/8doors-arums-afterlife-adventure
9 Monkeys of Shaolin;https://opencritic.com/game/10336/9-monkeys-of-shaolin
9 Years of Shadows;https://opencritic.com/game/14482/9-years-of-shadows
9-nine-:Episode 1;https://opencritic.com/game/7366/9-nine-episode-1
911 Operator;https://opencritic.com/game/4010/911-operator
911 Operator Deluxe Edition;https://opencritic.com/game/9548/911-operator-deluxe-edition
99 Fails Lite;https://opencritic.com/game/13337/99-fails-lite
99Vidas;https://opencritic.com/game/3799/99vidas
9th Dawn III: Shadow of Erthil;https://opencritic.com/game/10384/9th-dawn-iii-shadow-of-erthil
A Bastard's Tale;https://opencritic.com/game/2423/a-bastards-tale
A Bavarian Tale - Totgeschwiegen;https://opencritic.com/game/14454/a-bavarian-tale-totgeschwiegen
A Bird Story;https://opencritic.com/game/930/a-bird-story
A Bloody Night;https://opencritic.com/game/4704/a-bloody-night
A Boy and His Blob;https://opencritic.com/game/2150/a-boy-and-his-blob
A Boy and His Blob: Retro Collection;https://opencritic.com/game/15669/a-boy-and-his-blob-retro-collection
A Building Full of Cats;https://opencritic.com/game/13601/a-building-full-of-cats
A Butterfly in the District of Dreams;https://opencritic.com/game/4367/a-butterfly-in-the-district-of-dreams
A Case of Distrust;https://opencritic.com/game/5475/a-case-of-distrust
A City Sleeps;https://opencritic.com/game/941/a-city-sleeps
A Clockwork Ley-Line: The Borderline of Dusk;https://opencritic.com/game/5493/a-clockwork-ley-line-the-borderline-of-dusk
A Dark Room;https://opencritic.com/game/11322/a-dark-room
A Day Without Me;https://opencritic.com/game/11123/a-day-without-me
A Duel Hand Disaster: Trackher;https://opencritic.com/game/8033/a-duel-hand-disaster-trackher
A Fisherman's Tale;https://opencritic.com/game/7190/a-fishermans-tale
A Fistful of Gun;https://opencritic.com/game/1929/a-fistful-of-gun
A Fold Apart;https://opencritic.com/game/9314/a-fold-apart
A Frog's Job;https://opencritic.com/game/14627/a-frogs-job
A Game of Thrones: The Board Game - Digital Edition;https://opencritic.com/game/10334/a-game-of-thrones-the-board-game-digital-edition
A Golden Wake;https://opencritic.com/game/1403/a-golden-wake
A Good Snowman is Hard to Build;https://opencritic.com/game/11992/a-good-snowman-is-hard-to-build
A Gummy's Life;https://opencritic.com/game/6751/a-gummys-life
A Hand in the Darkness;https://opencritic.com/game/4796/a-hand-in-the-darkness
A Hat in Time;https://opencritic.com/game/4944/a-hat-in-time
A Hat in Time: Nyakuza Metro;https://opencritic.com/game/7693/a-hat-in-time-nyakuza-metro
A Hat in Time: Seal the Deal;https://opencritic.com/game/6607/a-hat-in-time-seal-the-deal
A Healer Only Lives Twice;https://opencritic.com/game/2856/a-healer-only-lives-twice
A Hero and a Garden;https://opencritic.com/game/10209/a-hero-and-a-garden
A Highland Song;https://opencritic.com/game/15936/a-highland-song
A House Of Many Doors;https://opencritic.com/game/3903/a-house-of-many-doors
A Juggler's Tale;https://opencritic.com/game/12044/a-jugglers-tale
